Ledningskonstruktion;Säkerhetsklass;Områdestyp;Stolptyp;Stolpmaterial;Ledningsmaterial;Ledningsisolering;Tvärsnittsarea;Spänningsnivå;Imax;Kostnadskod;Kommentar;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;99;52;155;R-NR-LL-2-1;;
overh;none;Landsbygd;none;none;Cu;undef;16;12;145;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;157;12;395;NG11014;;
overh;B;Landsbygd svår mark;single;wood;Cu;undef;35;24;200;NG11012;;
overh;B;Tätort;single;wood;ACSR;undef;157;52;270;R-NR-LL-2-2;;
overh;none;Tätort;none;none;ACSR;undef;99;52;155;R-NR-LL-2-1;;
overh;A;Landsbygd;single;wood;ACSR;undef;49;12;175;NG11012;;
overh;A;Landsbygd;single;wood;ACSR;undef;157;24;395;NG11014;;
overh;A;Landsbygd;single;wood;ACSR;undef;31;12;130;NG11012;;
overh;A;Tätort;single;wood;ACSR;undef;157;12;395;NG11014;;
overh;A;Landsbygd;single;wood;AlloyAl;undef;31;0,4;0;NG12311;;
